count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
42,21000,9.986843,-0.149000,0.000000,0.000000,0.000000,0.214000, 
57,28500,14.258000,3.947000,0.000000,0.000000,0.000000,1.262000, 
81,40500,20.124001,9.565000,0.000000,0.000000,0.000000,0.089000, 
108,54000,30.115000,9.168000,0.000000,0.000000,0.000000,-0.227000, 
114,57000,32.220001,8.395000,0.000000,0.000000,0.000000,-0.553000, 
126,63000,35.215000,5.074000,0.000000,0.000000,0.000000,-1.059000, 
135,67500,36.261002,1.880000,0.000000,0.000000,0.000000,-1.474000, 
141,70500,36.404999,-0.394000,0.000000,0.000000,0.000000,-1.486000, 
150,75000,36.467999,-3.778000,0.000000,0.000000,0.000000,-1.622000, 
159,79500,36.504002,-7.146000,0.000000,0.000000,0.000000,-1.433000, 
171,85500,36.845001,-11.645000,0.000000,0.000000,0.000000,-1.581000, 
174,87000,36.820000,-12.775000,0.000000,0.000000,0.000000,-1.646000, 
183,91500,35.821999,-15.999000,0.000000,0.000000,0.000000,-1.910000, 
189,94500,35.312000,-18.212999,0.000000,0.000000,0.000000,-1.676000, 
198,99000,35.070999,-21.593000,0.000000,0.000000,0.000000,-1.584000, 
204,102000,35.312000,-23.865000,0.000000,0.000000,0.000000,-1.381000, 
213,106500,36.221001,-27.240999,0.000000,0.000000,0.000000,-1.408000, 
219,109500,36.342999,-29.542000,0.000000,0.000000,0.000000,-1.598000, 
228,114000,35.417999,-32.094002,0.000000,0.000000,0.000000,-2.490000, 
234,117000,33.384998,-33.037998,0.000000,0.000000,0.000000,-2.859000, 
267,133500,21.143999,-34.756001,0.000000,0.000000,0.000000,-3.100000, 
273,136500,18.907000,-34.728001,0.000000,0.000000,0.000000,3.082000, 
300,150000,12.172000,-28.511999,0.000000,0.000000,0.000000,1.970000, 
318,159000,9.566000,-22.542999,0.000000,0.000000,0.000000,1.819000, 
324,162000,9.375000,-20.392000,0.000000,0.000000,0.000000,1.571000, 
327,163500,9.382000,-19.287001,0.000000,0.000000,0.000000,1.563000, 
333,166500,9.371000,-17.080000,0.000000,0.000000,0.000000,1.563000, 
339,169500,9.477000,-14.838000,0.000000,0.000000,0.000000,1.509000, 
345,172500,9.623000,-12.601000,0.000000,0.000000,0.000000,1.497000, 
360,180000,9.898000,-6.951000,0.000000,0.000000,0.000000,1.511000, 
369,184500,10.049000,-3.506000,0.000000,0.000000,0.000000,1.669000, 
399,199500,1.451131,-1.242000,0.000000,0.000000,0.000000,-3.058000, 
411,205500,-4.348000,-1.421000,0.000000,0.000000,0.000000,-3.057000, 
423,211500,-7.815000,-3.830000,0.000000,0.000000,0.000000,-2.028000, 
435,217500,-8.820000,-8.194000,0.000000,0.000000,0.000000,-1.657000, 
450,225000,-9.101000,-13.849000,0.000000,0.000000,0.000000,-1.715000, 
465,232500,-9.468000,-19.471001,0.000000,0.000000,0.000000,-1.553000, 
480,240000,-8.557000,-25.097000,0.000000,0.000000,0.000000,-1.252000, 
495,247500,-5.487000,-29.844999,0.000000,0.000000,0.000000,-0.699000, 
510,255000,-0.461000,-32.693001,0.000000,0.000000,0.000000,-0.455000, 
522,261000,3.855000,-34.165001,0.000000,0.000000,0.000000,-0.178000, 
540,270000,10.674000,-34.688000,0.000000,0.000000,0.000000,-0.019000, 
555,277500,16.365000,-34.882999,0.000000,0.000000,0.000000,-0.089000, 
576,288000,24.274000,-35.084999,0.000000,0.000000,0.000000,-0.045000, 
582,291000,26.523001,-35.035999,0.000000,0.000000,0.000000,0.049000, 
609,304500,36.629002,-35.437000,0.000000,0.000000,0.000000,-0.129000, 
630,315000,44.400002,-36.030998,0.000000,0.000000,0.000000,-0.060000, 
642,321000,48.834000,-36.445999,0.000000,0.000000,0.000000,-0.156000, 
654,327000,53.313999,-36.970001,0.000000,0.000000,0.000000,-0.109000, 
666,333000,57.820000,-37.556999,0.000000,0.000000,0.000000,-0.102000, 
681,340500,63.306000,-37.106998,0.000000,0.000000,0.000000,0.686000, 
690,345000,65.094002,-34.243999,0.000000,0.000000,0.000000,1.237000, 
696,348000,65.863998,-32.210999,0.000000,0.000000,0.000000,1.108000, 
699,349500,66.406998,-31.264999,0.000000,0.000000,0.000000,1.017000, 
708,354000,68.237000,-28.539000,0.000000,0.000000,0.000000,1.125000, 
714,357000,68.914001,-26.461000,0.000000,0.000000,0.000000,1.349000, 
717,358500,69.133003,-25.391001,0.000000,0.000000,0.000000,1.422000, 
723,361500,69.091003,-23.160999,0.000000,0.000000,0.000000,1.700000, 
735,367500,67.626999,-18.980000,0.000000,0.000000,0.000000,2.157000, 
744,372000,64.820000,-17.688000,0.000000,0.000000,0.000000,-2.839000, 
747,373500,64.075996,-18.278000,0.000000,0.000000,0.000000,-2.096000, 
753,376500,63.874001,-20.403000,0.000000,0.000000,0.000000,-1.591000, 
759,379500,63.396999,-22.378000,0.000000,0.000000,0.000000,-2.314000, 
762,381000,62.646000,-22.752001,0.000000,0.000000,0.000000,-3.038000, 
765,382500,61.838001,-22.541000,0.000000,0.000000,0.000000,2.517000, 
771,385500,61.488998,-20.993999,0.000000,0.000000,0.000000,1.528000, 
774,387000,61.499001,-19.900999,0.000000,0.000000,0.000000,1.576000, 
780,390000,61.473000,-17.882999,0.000000,0.000000,0.000000,1.493000, 
786,393000,61.778999,-16.214001,0.000000,0.000000,0.000000,1.254000, 
789,394500,62.284000,-15.226000,0.000000,0.000000,0.000000,0.978000, 
792,396000,62.921001,-14.296000,0.000000,0.000000,0.000000,0.971000, 
804,402000,63.519001,-9.947000,0.000000,0.000000,0.000000,1.635000, 
813,406500,63.665001,-6.564000,0.000000,0.000000,0.000000,1.486000, 
822,411000,63.951000,-3.190000,0.000000,0.000000,0.000000,1.565000, 
828,414000,63.914001,-0.952000,0.000000,0.000000,0.000000,1.569000, 
837,418500,64.083000,2.412000,0.000000,0.000000,0.000000,1.548000, 
843,421500,64.079002,4.677000,0.000000,0.000000,0.000000,1.548000, 
849,424500,64.153999,6.927000,0.000000,0.000000,0.000000,1.501000, 
855,427500,64.328003,9.183000,0.000000,0.000000,0.000000,1.505000, 
867,433500,63.835999,13.647000,0.000000,0.000000,0.000000,1.750000, 
876,438000,63.733002,17.018000,0.000000,0.000000,0.000000,1.565000, 
888,444000,64.938004,20.902000,0.000000,0.000000,0.000000,0.390000, 
897,448500,68.306999,21.135000,0.000000,0.000000,0.000000,-0.089000, 
903,451500,70.581001,20.941999,0.000000,0.000000,0.000000,-0.042000, 
906,453000,71.721001,20.884001,0.000000,0.000000,0.000000,-0.069000, 
912,456000,73.995003,20.600000,0.000000,0.000000,0.000000,-0.138000, 
921,460500,77.390999,20.247000,0.000000,0.000000,0.000000,-0.079000, 
927,463500,79.149467,20.118999,0.000000,0.000000,0.000000,-0.041000, 
930,465000,80.815002,20.105000,0.000000,0.000000,0.000000,0.010000, 
936,468000,82.890999,20.921000,0.000000,0.000000,0.000000,0.768000, 
939,469500,83.353996,21.862000,0.000000,0.000000,0.000000,1.400000, 
942,471000,83.320999,23.000000,0.000000,0.000000,0.000000,1.896000, 
948,474000,81.607002,24.101000,0.000000,0.000000,0.000000,3.124000, 
960,480000,77.167000,24.556999,0.000000,0.000000,0.000000,2.713000, 
975,487500,74.236000,29.068001,0.000000,0.000000,0.000000,1.732000, 
987,493500,73.977997,33.556999,0.000000,0.000000,0.000000,1.582000, 
1011,505500,74.139999,42.618999,0.000000,0.000000,0.000000,1.510000, 
1032,516000,74.678001,50.583000,0.000000,0.000000,0.000000,1.508000, 
1050,525000,75.146004,57.393002,0.000000,0.000000,0.000000,1.487000, 
1062,531000,75.606003,61.917000,0.000000,0.000000,0.000000,1.427000, 
1080,540000,74.599998,68.516998,0.000000,0.000000,0.000000,2.240000, 
1095,547500,69.468002,70.405998,0.000000,0.000000,0.000000,3.080000, 
1116,558000,61.623001,69.954002,0.000000,0.000000,0.000000,-3.142000, 
1137,568500,53.898998,68.665001,0.000000,0.000000,0.000000,-2.944000, 
1164,582000,44.027000,66.469002,0.000000,0.000000,0.000000,-2.850000, 
1176,588000,39.709999,65.416000,0.000000,0.000000,0.000000,-2.928000, 
1191,595500,35.426998,62.338001,0.000000,0.000000,0.000000,-2.040000, 
1224,612000,33.639000,50.424000,0.000000,0.000000,0.000000,-1.627000, 
1260,630000,33.409000,36.980000,0.000000,0.000000,0.000000,-1.658000, 
1278,639000,34.417000,30.514000,0.000000,0.000000,0.000000,-0.939000, 
1284,642000,35.828999,28.771000,0.000000,0.000000,0.000000,-0.822000, 
1290,645000,37.500000,27.285000,0.000000,0.000000,0.000000,-0.601000, 
1299,649500,39.922001,25.139000,0.000000,0.000000,0.000000,-1.267000, 
1308,654000,39.804001,21.829000,0.000000,0.000000,0.000000,-1.699000, 
1317,658500,39.047001,18.530001,0.000000,0.000000,0.000000,-1.897000, 
1329,664500,37.826000,14.219000,0.000000,0.000000,0.000000,-1.927000, 
1335,667500,36.766998,12.220000,0.000000,0.000000,0.000000,-2.173000, 
1338,669000,36.084000,11.304000,0.000000,0.000000,0.000000,-2.242000, 
1359,679500,28.684999,9.522000,0.000000,0.000000,0.000000,-3.065000, 
1368,684000,25.320999,9.471000,0.000000,0.000000,0.000000,3.120000, 
